Overzicht Kandidaatgegevens;;;;;;;;;;;;;
Verkiezing: Tweede Kamer der Staten-Generaal 2021 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;15;;Mulder;E.;Edgar;m;Zwolle;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;16;;Beertema;H.J.;Harm;m;Voorburg;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;17;de;Roon;R.;Raymond;m;Beek;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;18;;Faber;M.H.M.;Marjolein;v;Hoevelaken;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;19;van;Aalst;R.R.;Roy;m;Hengelo;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;20;van;Dijk;E.;Emiel;m;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;21;;Jansen;C.A.;Chris;m;Almere;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;22;de;Vree;J.H.;Henk;m;Hardinxveld-Giessendam;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;23;;Moinat;N.;Nicole;v;Purmerend;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;24;de;Winter;D.;Daniëlle;v;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;25;;Stöteler;T.S.M.;Sebastiaan;m;Almelo;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;26;;Heutink;H.D.;Hidde;m;Enschede;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;27;van;Dijk;A.J.A.;Toon;m;Almere;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;28;;Pool;J.;Joeri;m;Kampen;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;29;;Deen;M.;Marco;m;Zandvoort;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;30;;Wakker;H.;Hendrik;m;Urk;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;31;;Claassen;R.A.B.;René;m;Landgraaf;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;32;;Heeren;A.M.;Anthony;m;Pijnacker;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;33;;Boon;M.C.H.;Maikel;m;Bergen op Zoom;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;34;;Vlottes;E.;Elmar;m;Apeldoorn;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;35;;Veltmeijer;E.F.;Erik;m;Vroomshoop;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;36;van den;Berg;H.F.;Harry;m;Tilburg;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;37;;Dulfer;T.F.;Tessa;v;Papendrecht;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;38;;Klaassen;M.H.J.;Thijs;m;Geleen;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;39;;Smitskam;P.;Peter;m;Zoetermeer;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;40;;Pfoster;D.D.W.;Daryl;m;Buchten;NL
