CDA,2,Hanneke Steen,V,https://www.cda.nl/overijssel/hengelo-o/mensen/hanneke-steen-klok/,https://www.linkedin.com/in/hanneke-steen-klok/,,https://www.instagram.com/hannekesteenklok/,https://www.facebook.com/hanneke.stn/,https://bsky.app/profile/hannekesteen.bsky.social
CDA,3,Derk Boswijk,M,,,,,,
CDA,4,Inge van Dijk,V,https://www.cda.nl/mensen/inge-van-dijk/,https://www.linkedin.com/in/inge-van-dijk-17623512/,https://x.com/i_dijk,https://www.instagram.com/dijkingevan/,https://www.facebook.com/IngeVanDijkTK/,https://blueskydirectory.com/profiles/ingevandijk.bsky.social
CDA,5,Harmen Krul,M,,,,,,
CDA,6,Jeltje Straatman,V,https://www.cda.nl/mensen/kandidaat-jeltje-straatman/,https://www.linkedin.com/in/jeltje-straatman-36199b32/,https://x.com/straatmanjeltje?lang=ca,https://www.instagram.com/jeltjestraatman/,https://www.facebook.com/jeltje.straatman/,
CDA,7,Bart van den Brink,M,,,,,,
CDA,8,Judith Bühler,V,https://www.cda.nl/mensen/kandidaat-judith-buhler/,https://www.linkedin.com/in/judithbuhler/,https://x.com/JudithBuhler,https://www.instagram.com/judithbuhler/,,
CDA,9,Henk Jumelet,M,,,,,,
CDA,10,Elles van Ark,V,https://www.cda.nl/mensen/kandidaat-elles-van-ark/,https://www.linkedin.com/in/ellesvanark/,https://x.com/ellesvanark,https://www.instagram.com/elles.ark?igsh=MWhicmZqb2dpZTVzNg==,,https://bsky.app/profile/ellesvanark.bsky.social
CDA,11,Tijs van den Brink,M,,,,,,
CDA,12,Jantine Zwinkels,V,https://www.cda.nl/mensen/kandidaat-jantine-zwinkels/,https://www.linkedin.com/in/jantine-zwinkels-23787a19/,https://x.com/JantineZwinkels,https://www.instagram.com/jantinezw/,https://www.facebook.com/JantineZwinkelsCDA/,
CDA,13,Maes van Lanschot,M,,,,,,
CDA,14,Luciënne Boelsma-Hoekstra,V,https://www.cda.nl/friesland/de-fryske-marren/mensen/luci%C3%ABnne-boelsma-hoekstra/,https://www.linkedin.com/in/lucienne-boelsma-hoekstra-313404152/,,https://www.instagram.com/lucienne.boelsmahoekstra/,https://www.facebook.com/lucienne.boelsmahoekstra/,
CDA,15,Jan Arie Koorevaar,M,,,,,,
CDA,16,Eveline Tijmstra,V,https://www.cda.nl/mensen/kandidaat-eveline-tijmstra/,https://www.linkedin.com/in/eveline-tijmstra/,https://x.com/EvelineTijmstra,https://www.instagram.com/evelinetijmstra/,https://www.facebook.com/p/Eveline-Tijmstra-100063788783771/,
CDA,17,Sarath Hamstra,M,,,,,,
CDA,18,Etkin Armut,V,https://www.cda.nl/groningen/groningen/mensen/etkin-armut/,https://www.linkedin.com/in/etkin-armut-0b3b70224/,https://x.com/etkinarmut?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/etkinarmut/,,
CDA,19,André Poortman,M,,,,,,
CDA,20,Joris Lohman,M,,,,,,
